"clones","lambda","sens","esp","ppv","npv"
2,0.001,86.4864864864865,86.5424430641822,14.6981627296588,99.5830851697439
2,0.01,84.1698841698842,88.1469979296066,15.9941305942773,99.520804114072
2,0.1,75.6756756756757,92.1739130434783,20.5882352941176,99.2974238875878
5,0.001,86.4864864864865,86.128364389234,14.3222506393862,99.5810891681628
5,0.01,86.1003861003861,87.888198757764,16.0086145010768,99.5777621393385
5,0.1,74.5173745173745,92.7950310559006,21.7097862767154,99.2691029900332
10,0.001,86.8725868725869,86.1594202898551,14.404609475032,99.5931554385545
10,0.01,85.3281853281853,87.3809523809524,15.3472222222222,99.5518339426819
10,0.1,79.5366795366795,92.111801242236,21.2809917355372,99.4078873868841
